"projectID";"topic";"title"
"734770";"MSCA-RISE-2016";"Research and Innovation Staff Exchange"
"818697";"MSCA-NIGHT-2018";"European Researchers' Night"
"665992";"MSCA-COFUND-2014-DP";"Marie Skłodowska-Curie Co-funding of regional, national and international programmes (COFUND-DP)"
"864482";"ERC-2019-COG";"ERC Consolidator Grant"
"841592";"MSCA-IF-2018";"Individual Fellowships"
"681856";"JTI-CS2-2014-CFP01-AIR-01-01";"Aerodynamic and acoustic capabilities developments for close coupling, high bypass ratio turbofan Aircraft integration"
"831893";"JTI-CS2-2018-CfP08-ENG-01-33";"Prediction of High Frequency Vibrations in Aircraft Engines"
"769497";"REV-INEQUAL-09-2017";"Boosting inclusiveness of ICT-enabled research and innovation"
"701747";"MSCA-IF-2015-GF";"Marie Skłodowska-Curie Individual Fellowships (IF-GF)"
"856705";"WIDESPREAD-04-2019";"ERA Chairs"
"692455";"ECSEL-17-2015";"Cyber-physical Systems"
"813202";"MSCA-ITN-2018";"Innovative Training Networks"
"723706";"SPIRE-04-2016";"Industrial furnace design addressing energy efficiency in new and existing furnaces"
"101016000";"SC1-PHE-CORONAVIRUS-2020-2B";"Medical technologies, Digital tools and Artificial Intelligence (AI) analytics to improve surveillance and care at high Technology Readiness Levels (TRL)"
"749400";"MSCA-IF-2016";"Individual Fellowships"
"896914";"MSCA-IF-2019";"Individual Fellowships"
"871075";"INFRADEV-03-2018-2019";"Individual support to ESFRI and other world-class research infrastructures"
"857627";"WIDESPREAD-04-2019";"ERA Chairs"
"892943";"MSCA-IF-2019";"Individual Fellowships"
"822185";"MSCA-RISE-2018";"Research and Innovation Staff Exchange"
"730998";"INFRAIA-01-2016-2017";"Integrating Activities for Advanced Communities"
"676201";"MSCA-ITN-2015-ETN";"Marie Skłodowska-Curie Innovative Training Networks (ITN-ETN)"
"658425";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"956229";"MSCA-ITN-2020";"Innovative Training Networks"
"769032";"COMPET-2-2017";"Competitiveness in Earth observation mission technologies"
"681103";"PHC-15-2015";"Clinical research on regenerative medicine"
"678834";"ERC-StG-2015";"ERC Starting Grant"
"101004372";"LC-SPACE-18-EO-2020";"Copernicus evolution: Research activities in support of the evolution of the Copernicus services"
"824663";"FETOPEN-02-2018";"FET-Open Coordination and Support Actions"
"101016112";"SC1-PHE-CORONAVIRUS-2020-2B";"Medical technologies, Digital tools and Artificial Intelligence (AI) analytics to improve surveillance and care at high Technology Readiness Levels (TRL)"
"955458";"MSCA-NIGHT-2020";"European Researchers' Night"
"101015736";"IBA-SC1-CORONAVIRUS-2020-3";"Advancing knowledge for the clinical and public health response to the 2019-nCoV epidemic"
"899520";"FETOPEN-01-2018-2019-2020";"FET-Open Challenging Current Thinking"
"797178";"MSCA-IF-2017";"Individual Fellowships"
"844129";"MSCA-IF-2018";"Individual Fellowships"
"680734";"FoF-09-2015";"ICT Innovation for Manufacturing SMEs (I4MS)"
"952252";"WIDESPREAD-05-2020";"Twinning"
"952110";"FETPROACT-EIC-06-2019";"EIC Transition to Innovation Activities"
"764840";"MSCA-ITN-2017";"Innovative Training Networks"
"799171";"MSCA-IF-2017";"Individual Fellowships"
"815083";"LC-SC3-RES-11-2018";"Developing solutions to reduce the cost and increase performance of renewable technologies"
"861119";"MSCA-ITN-2019";"Innovative Training Networks"
"948225";"ERC-2020-STG";"ERC STARTING GRANTS"
"872607";"MSCA-RISE-2019";"Research and Innovation Staff Exchange"
"864901";"JTI-CS2-2018-CFP09-THT-03";"Conceptual Design of a 19-passenger Commuter Aircraft with near zero emissions"
"894712";"LC-SC3-EE-18-2019";"Bioclimatic approaches for improving energy performance in buildings in Africa and Europe"
"881772";"S2R-OC-IP3-01-2019";"Future traction power supply for railways and public transport"
"101007816";"JTI-CS2-2020-CfP11-LPA-01-92";"Optimization of APU Exhaust Muffler Thermal Barrier and Air Intakes construction Technologies"
"896404";"MSCA-IF-2019";"Individual Fellowships"
"881803";"S2R-OC-IP1-02-2019";"Tools, methodologies and technological development of next generation of Running Gear"
"800060";"MSCA-IF-2017";"Individual Fellowships"
"965246";"SC1-HCO-18-2020";"Developing methodological approaches for improved clinical investigation and evaluation of high-risk medical devices"
"958284";"LC-EEB-07-2020";"Smart Operation of Proactive Residential Buildings (IA)"
"681673";"ERC-CoG-2015";"ERC Consolidator Grant"
"964588";"FETOPEN-01-2018-2019-2020";"FET-Open Challenging Current Thinking"
"871658";"ICT-05-2019";"Application driven Photonics components"
"780086";"ICT-28-2017";"Robotics Competition, coordination and support"
"101016087";"SC1-PHE-CORONAVIRUS-2020-2B";"Medical technologies, Digital tools and Artificial Intelligence (AI) analytics to improve surveillance and care at high Technology Readiness Levels (TRL)"
"637090";"FoF-07-2014";"Support for the enhancement of the impact of FoF PPP projects"
"730842";"S2R-OC-IP4-02-2016";"Interoperability Framework Converters"
"101000594";"RUR-06-2020";"Innovative agri-food value chains: boosting sustainability-oriented competitiveness"
"857237";"DT-ICT-10-2018-19";"Interoperable and smart homes and grids"
"870092";"DT-FOF-08-2019";"Pilot lines for modular factories (IA 50%)"
"774477";"SCC-1-2016-2017";"Smart Cities and Communities lighthouse projects"
"688093";"ICT-28-2015";"Cross-cutting ICT KETs"
"814494";"DT-NMBP-07-2018";"Open Innovation Test Beds for Characterisation (IA)"
"760973";"NMBP-05-2017";"Advanced materials and innovative design for improved functionality and aesthetics in high added value consumer goods"
"700665";"DS-03-2015";"The role of ICT in Critical Infrastructure Protection"
"776622";"SC5-13-2016-2017";"New solutions for sustainable production of raw materials"
"839880";"MSCA-IF-2018";"Individual Fellowships"
"834271";"ERC-2018-ADG";"ERC Advanced Grant"
"101003656";"LC-CLA-10-2020";"Scientific support to designing mitigation pathways and policies"
"823748";"MSCA-RISE-2018";"Research and Innovation Staff Exchange"
"824466";"SwafS-01-2018-2019-2020";"Open schooling and collaboration on science education"
"662189";"ECSEL-01-2014";"ECSEL Key Applications and Essential Technologies (RIA)"
"818496";"RUR-01-2018-2019";"Building modern rural policies on long-term visions and societal engagement"
"837811";"BBI.2018.SO4.S3";"Identify opportunities to promote careers, education and research activities in the European bio-based industry"
"724106";"MG-6.3-2016";"Roadmap, new business models, awareness raising, support and incentives for the roll-out of ITS"
"815189";"LC-MG-1-1-2018";"InCo flagship on reduction of transport impact on air quality"
"965124";"FETOPEN-01-2018-2019-2020";"FET-Open Challenging Current Thinking"
"771005";"ERC-2017-COG";"ERC Consolidator Grant"
"101038083";"WF-03-2020";"Widening Fellowships"
"825771";"SC1-BHC-18-2018";"Translational collaborative cancer research between Europe and the Community of Latin American and Caribbean States (CELAC)"
"803158";"ERC-2018-STG";"ERC Starting Grant"
"657533";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"957213";"LC-BAT-15-2020";"Coordinate and support the large scale research initiative on Future Battery Technologies"
"777431";"INFRADEV-01-2017";"Design Studies"
"101016411";"ICT-47-2020";"Research and Innovation boosting promising robotics applications"
"657247";"MSCA-IF-2014-GF";"Marie Skłodowska-Curie Individual Fellowships (IF-GF)"
"841952";"MSCA-IF-2018";"Individual Fellowships"
"689617";"PHC-30-2015";"Digital representation of health data to improve disease diagnosis and treatment"
"803721";"ERC-2018-STG";"ERC Starting Grant"
"659398";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"893762";"MSCA-IF-2019";"Individual Fellowships"
"820394";"FETFLAG-03-2018";"FET Flagship on Quantum Technologies"
"101004730";"INFRAINNOV-04-2020";"Innovation pilots"
"642841";"MSCA-ITN-2014-ETN";"Marie Skłodowska-Curie Innovative Training Networks (ITN-ETN)"
"101006543";"SwafS-09-2018-2019-2020";"Supporting research organisations to implement gender equality plans"
"749359";"MSCA-IF-2016";"Individual Fellowships"
"882842";"JTI-CS2-2019-CFP10-THT-08";"Experimental and numerical noise assessment of distributed propulsion configurations"
"831235";"H2020EENSGA3";"EEN H2020 SGA3"
"820555";"EIC-FTI-2018-2020";"Fast Track to Innovation (FTI)"
"796120";"MSCA-IF-2017";"Individual Fellowships"
"753531";"MSCA-IF-2016";"Individual Fellowships"
"964396";"FETOPEN-01-2018-2019-2020";"FET-Open Challenging Current Thinking"
"895579";"MSCA-IF-2019";"Individual Fellowships"
"895828";"MSCA-IF-2019";"Individual Fellowships"
"793669";"MSCA-IF-2017";"Individual Fellowships"
"874837";"SC1-BHC-07-2019";"Regenerative medicine: from new insights to new applications"
"690978";"ERC-ADG-2015";"ERC Advanced Grant"
"892262";"MSCA-IF-2019";"Individual Fellowships"
"948449";"ERC-2020-STG";"ERC STARTING GRANTS"
"692145";"H2020-TWINN-2015";"Twinning"
"956780";"MSCA-ITN-2020";"Innovative Training Networks"
"833496";"SU-DRS01-2018-2019-2020";"Human factors, and social, societal, and organisational aspects for disaster-resilient societies"
"665100";"SEAC-1-2014";"Innovative ways to make science education and scientific careers attractive to young people"
"775983";"SC5-18-2017";"Novel in-situ observation systems"
"891774";"MSCA-IF-2019";"Individual Fellowships"
"795091";"MSCA-IF-2017";"Individual Fellowships"
"824160";"FETPROACT-01-2018";"FET Proactive: emerging paradigms and communities"
"678610";"ERC-StG-2015";"ERC Starting Grant"
"101007223";"FCH-02-1-2020";"Catalyst development for improved economic viability of LOHC technology"
"869810";"LC-EEB-05-2019-20";"Integrated storage systems for residential buildings (IA)"
"721624";"MSCA-ITN-2016";"Innovative Training Networks"
"649436";"EURO-3-2014";"European societies after the crisis"
"954509";"MSCA-NIGHT-2020";"European Researchers' Night"
"951998";"DT-ICT-03-2020";"I4MS (phase 4) - uptake of digital game changers"
"818329";"LC-SC3-RES-5-2018";"Increased performance of technologies for local heating and cooling solutions"
"957221";"LC-BAT-13-2020";"Sensing functionalities for smart battery cell chemistries"
"820970";"LC-CLA-08-2018";"Addressing knowledge gaps in climate science, in support of IPCC reports"
"814236";"MSCA-ITN-2018";"Innovative Training Networks"
"674830";"INNOVATION";"Enhancing the innovation management capacity of SMEs"
"847926";"SC1-BHC-22-2019";"Mental health in the workplace"
"720757";"BBI.VC2.R5-2015";"Practices increasing effectiveness of forest management"
"842547";"LC-SC3-JA-2-2018-2019";"Support to the realisation of the Implementation Plans of the SET Plan"
"831282";"H2020EENSGA3";"EEN H2020 SGA3"
"101036588";"LC-GD-6-1-2020";"Testing and demonstrating systemic innovations in support of the Farm-to-Fork Strategy"
"633306";"MSCA-NIGHT-2014";"European Researchers' Night (NIGHT)"
"839937";"LC-SC3-EE-5-2018-2019-2020";"Next-generation of Energy Performance Assessment and Certification"
"101007757";"IMI2-2020-20-01";"Early diagnosis, prediction of radiographic outcomes and development of rational, personalised treatment strategies to improve long-term outcomes in psoriatic arthritis"
"800586";"MSCA-IF-2017";"Individual Fellowships"
"841905";"MSCA-IF-2018";"Individual Fellowships"
"101036656";"LC-GD-2-1-2020";"Innovative land-based and offshore renewable energy technologies and their integration into the energy system"
"857263";"WIDESPREAD-03-2018";"Twinning"
"792640";"MSCA-IF-2017";"Individual Fellowships"
"820099";"JTI-CS2-2017-CfP07-ENG-01-30";"Numerical and experimental study of high speed radial flow compressors"
"659183";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"860243";"MSCA-ITN-2019";"Innovative Training Networks"
"658174";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"955330";"MSCA-NIGHT-2020";"European Researchers' Night"
"859588";"MSCA-ITN-2019";"Innovative Training Networks"
"716867";"ERC-2016-STG";"ERC Starting Grant"
"101036048";"MSCA-NIGHT-2020bis";"European Researchers' Night"
"828890";"FETOPEN-01-2018-2019-2020";"FET-Open Challenging Current Thinking"
"856592";"WIDESPREAD-03-2018";"Twinning"
"820048";"ERC-2018-COG";"ERC Consolidator Grant"
"807089";"CS2-GAM-2018-REG";"Regional Aircraft"
"872614";"DT-ICT-01-2019";"Smart Anything Everywhere"
"825395";"DT-ICT-02-2018";"Robotics - Digital Innovation Hubs (DIH)"
"857156";"SU-ICT-04-2019";"Quantum Key Distribution testbed"
"727188";"CULT-COOP-08-2016";"Virtual museums and social platform on European digital heritage, memory, identity and cultural interaction."
"700416";"DRS-12-2015";"Critical Infrastructure Protection topic 1: Critical Infrastructure “smart grid” protection and resilience under “smart meters” threats"
"101002013";"ERC-2020-COG";"ERC CONSOLIDATOR GRANTS"
"833481";"SU-ICT-01-2018";"Dynamic countering of cyber-attacks"
"882550";"MSCA-IF-2019";"Individual Fellowships"
